media_id,checkpoint,obs_date,posted_date,permalink,caption,views,reach,avg_watch_time_s,new_followers,skip_rate_pct,share_rate_pct,like_rate_pct,save_rate_pct,repost_rate_pct,comment_rate_pct,src_reels_pct,src_explore_pct,src_feed_pct,src_profile_pct,src_other_pct,profile_visits,likes,comments,reposts,shares,saves,follower_pct,age_13_17_pct,age_18_24_pct,age_25_34_pct,age_35_44_pct,age_45_54_pct,age_55_64_pct,age_65_plus_pct,gender_male_pct,gender_female_pct,gender_other_pct,countries
18173928976418735,7d,2026-07-12,2026-07-05,https://www.instagram.com/reel/DaaVvg4gIPh/,這座石塔底下，竟藏著挖進海底的礦坑？  康沃爾與西德文礦業景觀 · 工業革命時期  波塔拉克的石造礦機房緊貼大西洋懸崖而立，礦道從崖底一路掘進海床之下；暴風雨的,214,168,5,1,63.7,0.0,0.0,0.0,0.0,0.0,83.0,10.4,4.7,1.9,,0,0,0,0,0,0,6.1,1.0,11.9,35.7,22.9,9.5,11.9,7.1,,,,
18126686959642648,7d,2026-07-13,2026-07-06,https://www.instagram.com/reel/Dac93U_Djfp/,西班牙人為什麼找不到這座天空之城？  馬丘比丘 · 15世紀・印加帝國  帕查庫特克在海拔2430公尺的山脊建起王家莊園。石匠不用一滴砂漿，把花崗岩切得連刀刃都,960,580,17,2,38.5,0.0,1.7,0.0,0.0,0.0,91.4,6.9,1.1,0.6,,0,10,0,0,0,0,1.2,0,3.3,14.7,13.0,13.7,24.2,31.2,,,,
17963974236129795,7d,2026-07-14,2026-07-07,https://www.instagram.com/reel/Dafip_9D7fg/,這座圓頂，為什麼空了一百年？  佛羅倫斯歷史中心 · 13–16世紀・文藝復興  佛羅倫斯的大教堂自一二九六年動工，卻在祭壇上方留下一個直徑四十四公尺的八角形大,763,515,6,1,53.2,0.0,1.0,0.2,0.0,0.0,85.4,12.5,1.1,1.0,,6,5,0,0,0,1,1.5,0,6.3,22.7,19.8,19.9,14.3,17.0,69.7,30.3,,台灣:58.1|香港:12.4|美國:6.5|馬來西亞:4.3|中國:4.1
18113232020487836,7d,2026-07-15,2026-07-08,https://www.instagram.com/reel/DaiHc2wlNSA/,這座木造城，為何七百年不倒？  姬路城 · 建於 1333 年  白鷺城通體雪白，層層屋簷微微上揚，像一隻正要振翅的白鷺——這就是姬路城名字的由來，日本現存最完,481,343,7,0,52.5,0.0,1.7,0.0,0.0,0.0,84.0,11.3,2.1,2.3,,1,6,0,0,0,0,1.9,0.2,7.9,26.4,22.3,17.2,14.5,11.5,70.8,29.2,,台灣:72.8|香港:12.3|日本:3.6|新加坡:2.6|馬來西亞:1.9
18072267218363673,7d,2026-07-16,2026-07-09,https://www.instagram.com/reel/DaksPyXjarZ/,擅自闖進這座城的人，會被當場處死。  紫禁城 · 1406–1420（明永樂年間）  永樂皇帝在 1406 年動工，徵調百萬工匠，花十四年在北京正中蓋起這座宮殿,297,239,18,1,57.9,0.0,2.9,0.8,0.0,0.0,81.6,12.3,2.3,3.8,,0,7,0,0,0,2,4.1,0.3,8.2,24.9,21.8,13.0,14.3,17.5,72.5,27.5,,台灣:55.6|香港:6.8|新加坡:6.5|美國:5.1|中國:4.4
18117962776841563,48h,2026-07-12,2026-07-10,https://www.instagram.com/reel/DanP-KliVIz/,這座小城，以一尊佛像命名——那尊佛像，卻曾兩度離開它。  龍坡邦 · 瀾滄王國（1353 年起）  湄公河與南康河在此靜靜交會，龍坡邦這座寮國北部的山中小城，人,178,159,7,1,69.6,0.0,1.2,0.0,0.0,0.0,83.7,10.7,3.9,1.7,,1,2,0,0,0,0,2.8,0.6,2.8,27.5,21.3,18.0,16.9,12.9,,,,
18117962776841563,7d,2026-07-18,2026-07-10,https://www.instagram.com/reel/DanP-KliVIz/,這座小城，以一尊佛像命名——那尊佛像，卻曾兩度離開它。  龍坡邦 · 瀾滄王國（1353 年起）  湄公河與南康河在此靜靜交會，龍坡邦這座寮國北部的山中小城，人,190,167,8,1,68.0,0.0,1.2,0.0,0.0,0.0,79.9,,,,,2,2,0,0,0,0,3.2,0.5,2.6,27.0,21.7,16.9,18.5,12.7,53.8,46.2,,台灣:70.9|新加坡:6.9|香港:6.3|馬來西亞:4.2|中國:3.2
18120949039754670,24h,2026-07-12,2026-07-11,https://www.instagram.com/reel/Daq_XoKiizT/,富士山，供奉女神一千多年，卻不准女人登上山頂。  富士山 · 江戶時代  富士山，被雪覆蓋近五個月的完美圓錐，一千多年來是日本人的聖山。神話裡，山頂住著櫻花女神,165,145,7,1,68.2,0.0,1.4,0.0,0.0,0.0,86.5,9.8,3.7,,,0,2,0,0,0,0,3.7,1.2,14.7,26.4,22.7,13.5,13.5,8.0,,,,
18120949039754670,48h,2026-07-13,2026-07-11,https://www.instagram.com/reel/Daq_XoKiizT/,富士山，供奉女神一千多年，卻不准女人登上山頂。  富士山 · 江戶時代  富士山，被雪覆蓋近五個月的完美圓錐，一千多年來是日本人的聖山。神話裡，山頂住著櫻花女神,257,226,8,1,67.5,0.0,2.2,0.0,0.0,0.0,87.2,9.7,2.7,0.4,,0,5,0,0,0,0,2.3,1.2,10.1,22.6,21.8,17.5,14.8,12.1,,,,
18129793348624846,24h,2026-07-13,2026-07-12,https://www.instagram.com/reel/DasqhWQjtxg/,這座城市曾經富甲沙漠，卻憑空消失了七百年，直到一個瑞士青年，說了一個謊。  佩特拉 · 納巴泰王國時期  納巴泰人兩千三百年前在約旦沙漠定居，不砌磚牆，直接在玫,99,89,44,0,81.3,0.0,3.3,0.0,0.0,0.0,77.1,19.8,2.1,1.0,,0,3,0,0,0,0,3,,,,,,,,,,,
18129793348624846,48h,2026-07-14,2026-07-12,https://www.instagram.com/reel/DasqhWQjtxg/,這座城市曾經富甲沙漠，卻憑空消失了七百年，直到一個瑞士青年，說了一個謊。  佩特拉 · 納巴泰王國時期  納巴泰人兩千三百年前在約旦沙漠定居，不砌磚牆，直接在玫,111,103,39,0,82.5,0.0,2.9,0.0,0.0,0.0,76.6,19.8,1.8,1.8,,0,3,0,0,0,0,2.7,0,16.2,33.3,17.1,13.5,9.0,10.8,62.2,37.8,,台灣:39.6|香港:9.9|印度:7.2|中國:6.3|澳門:5.4
18129793348624846,7d,2026-07-19,2026-07-12,https://www.instagram.com/reel/DasqhWQjtxg/,這座城市曾經富甲沙漠，卻憑空消失了七百年，直到一個瑞士青年，說了一個謊。  佩特拉 · 納巴泰王國時期  納巴泰人兩千三百年前在約旦沙漠定居，不砌磚牆，直接在玫,119,109,40,0,79.6,0.0,2.8,0.0,0.0,0.0,71.4,18.5,1.7,8.4,,0,3,0,0,0,0,3.4,0,15.1,31.9,17.6,14.3,10.9,10.1,63.0,37.0,,台灣:42.9|香港:9.2|印度:6.7|中國:5.9|澳門:5.0
18120359665819300,24h,2026-07-14,2026-07-13,https://www.instagram.com/reel/Dau_zvUjDNM/,全世界最著名的建築之一，其實是一座陵墓。而下令建造它的皇帝，最後只能隔著河，遠遠望著它。  泰姬瑪哈陵 · 1632–1653年・蒙兀兒帝國  慕塔芝・瑪哈在軍,212,190,17,0,71.7,0.5,1.6,0.5,0.0,0.0,88.6,9.0,1.4,1.0,,0,3,0,0,1,1,1.9,0,11.0,26.2,16.2,14.8,14.3,17.6,56.5,43.5,,台灣:44.8|香港:13.3|新加坡:8.1|美國:7.1|中國:3.8
18120359665819300,48h,2026-07-15,2026-07-13,https://www.instagram.com/reel/Dau_zvUjDNM/,全世界最著名的建築之一，其實是一座陵墓。而下令建造它的皇帝，最後只能隔著河，遠遠望著它。  泰姬瑪哈陵 · 1632–1653年・蒙兀兒帝國  慕塔芝・瑪哈在軍,243,208,26,0,69.7,0.5,1.9,0.5,0.0,0.0,87.7,8.1,1.2,3.0,,0,4,0,0,1,1,1.7,0,9.7,25.4,14.4,13.6,16.5,20.3,53.9,46.1,,台灣:48.3|香港:12.3|美國:7.6|新加坡:7.2|中國:3.4
18120359665819300,7d,2026-07-20,2026-07-13,https://www.instagram.com/reel/Dau_zvUjDNM/,全世界最著名的建築之一，其實是一座陵墓。而下令建造它的皇帝，最後只能隔著河，遠遠望著它。  泰姬瑪哈陵 · 1632–1653年・蒙兀兒帝國  慕塔芝・瑪哈在軍,250,214,26,0,70.1,0.5,1.9,0.5,0.0,0.0,85.6,7.8,1.2,5.3,,0,4,0,0,1,1,1.6,0,9.5,25.9,15.2,13.2,16.5,19.8,54.3,45.7,,台灣:48.1|香港:11.9|美國:7.4|新加坡:7.4|中國:3.3
18111441236300008,24h,2026-07-15,2026-07-14,https://www.instagram.com/reel/DaxcPxAlGGV/,布拉格舊城廣場上這座天文鐘走了六百年，但傳說中造鐘的人，最後被挖去了雙眼——只為了讓世上再無第二座這樣的鐘。  布拉格舊城 · 中世紀（九世紀起）／天文鐘 14,1905,1579,14,6,46.7,0.4,1.2,0.4,0.0,0.0,86.0,12.5,0.8,0.2,,9,19,0,0,6,7,0.3,0.3,6.4,27.5,22.8,18.3,15.9,8.8,48.0,52.0,,台灣:70.0|香港:9.7|美國:3.2|馬來西亞:3.1|英國:2.8
18111441236300008,48h,2026-07-16,2026-07-14,https://www.instagram.com/reel/DaxcPxAlGGV/,布拉格舊城廣場上這座天文鐘走了六百年，但傳說中造鐘的人，最後被挖去了雙眼——只為了讓世上再無第二座這樣的鐘。  布拉格舊城 · 中世紀（九世紀起）／天文鐘 14,2733,2287,14,11,45.7,0.7,1.4,0.3,0.0,0.0,86.1,12.5,0.6,0.3,,16,31,0,0,15,7,0.4,0.2,5.4,25.2,23.3,18.9,18.1,8.8,44.9,55.1,,台灣:70.0|香港:10.2|美國:3.4|馬來西亞:2.9|新加坡:2.5
18111441236300008,7d,2026-07-21,2026-07-14,https://www.instagram.com/reel/DaxcPxAlGGV/,布拉格舊城廣場上這座天文鐘走了六百年，但傳說中造鐘的人，最後被挖去了雙眼——只為了讓世上再無第二座這樣的鐘。  布拉格舊城 · 中世紀（九世紀起）／天文鐘 14,2797,2349,14,11,45.5,0.7,1.4,0.3,0.0,0.0,86.2,12.3,0.6,0.4,0,16,32,0,0,17,8,0.4,0.2,5.4,25.0,23.1,19.2,18.2,8.9,44.7,55.3,,台灣:70.4|香港:10.0|美國:3.3|馬來西亞:2.9|新加坡:2.5
17926236306379575,24h,2026-07-16,2026-07-15,https://www.instagram.com/reel/Da0BCttGLn-/,這種屋頂，一戶人家永遠蓋不起來。  白川鄉合掌村 · 十七世紀～現代  庄川河谷的雪能積到一層樓高，於是屋頂被築成陡峭的三角。兩面斜坡像合十的手掌，雪一落就滑走,727,613,11,3,46.9,0.2,1.3,0.0,0.0,0.0,89.3,9.0,0.9,0.7,,3,8,0,0,1,0,1.1,0.3,7.6,24.6,22.5,17.3,15.5,12.1,52.7,47.3,,台灣:65.4|香港:12.1|新加坡:4.9|馬來西亞:2.8|中國:2.8
17926236306379575,7d,2026-07-22,2026-07-15,https://www.instagram.com/reel/Da0BCttGLn-/,這種屋頂，一戶人家永遠蓋不起來。  白川鄉合掌村 · 十七世紀～現代  庄川河谷的雪能積到一層樓高，於是屋頂被築成陡峭的三角。兩面斜坡像合十的手掌，雪一落就滑走,839,715,11,4,46.7,0.1,1.3,0.0,0.0,0.0,88.8,9.1,1.0,1.0,,3,9,0,0,1,0,1.4,0.2,6.6,22.1,20.9,18.6,18.5,13.2,52.3,47.7,,台灣:66.3|香港:11.9|新加坡:4.8|馬來西亞:3.2|中國:2.9
18094131698576035,48h,2026-07-18,2026-07-16,https://www.instagram.com/reel/Da2oX-Gj0Ch/,一個被貶到底的官員，蓋出了中國最美的園林。  蘇州古典園林 · 北宋至清（11–19 世紀）  蘇州的高牆後面，藏著明清文人親手疊出的小天地。鼎盛時近兩百座私家,1034,828,13,2,46.9,0.1,1.2,0.4,0.0,0.0,90.6,8.7,0.4,,,3,10,0,0,1,3,0.8,0.2,4.2,12.7,14.1,20.0,27.2,21.6,53.8,46.3,,台灣:56.8|美國:8.8|香港:7.8|新加坡:7.4|馬來西亞:3.7
18094131698576035,7d,2026-07-23,2026-07-16,https://www.instagram.com/reel/Da2oX-Gj0Ch/,一個被貶到底的官員，蓋出了中國最美的園林。  蘇州古典園林 · 北宋至清（11–19 世紀）  蘇州的高牆後面，藏著明清文人親手疊出的小天地。鼎盛時近兩百座私家,1077,866,13,2,46.3,0.1,1.1,0.5,0.0,0.0,90.1,8.9,0.5,0.3,,3,10,0,0,1,4,0.9,0.2,4.0,12.4,14.1,20.3,27.1,21.8,52,48,,台灣:57.7|美國:8.4|香港:8.0|新加坡:7.1|馬來西亞:3.6
17979215781024145,24h,2026-07-18,2026-07-17,https://www.instagram.com/reel/Da3814GjAtf/,這座城的名字叫「幸福的黎明」，卻沉睡了兩百年。  素可泰古城 · 13–14 世紀  素可泰意為「幸福的黎明」。十三世紀中葉，泰人首領起事擺脫高棉帝國統治，在此,224,194,6,1,75.6,0.0,0.5,0.0,0.0,0.0,90.0,8.2,1.8,,,0,1,0,0,0,0,3.6,0.9,8.2,29.5,24.1,14.5,13.2,9.5,39.7,60.3,,台灣:50|香港:18.2|新加坡:9.5|馬來西亞:6.4|中國:3.6
17979215781024145,48h,2026-07-19,2026-07-17,https://www.instagram.com/reel/Da3814GjAtf/,這座城的名字叫「幸福的黎明」，卻沉睡了兩百年。  素可泰古城 · 13–14 世紀  素可泰意為「幸福的黎明」。十三世紀中葉，泰人首領起事擺脫高棉帝國統治，在此,224,194,6,1,75.6,0.0,0.5,0.0,0.0,0.0,90.0,8.2,1.8,,,0,1,0,0,0,0,3.6,0.9,8.2,29.5,24.1,14.5,13.2,9.5,39.7,60.3,,台灣:50|香港:18.2|新加坡:9.5|馬來西亞:6.4|中國:3.6
17979215781024145,7d,2026-07-24,2026-07-17,https://www.instagram.com/reel/Da3814GjAtf/,這座城的名字叫「幸福的黎明」，卻沉睡了兩百年。  素可泰古城 · 13–14 世紀  素可泰意為「幸福的黎明」。十三世紀中葉，泰人首領起事擺脫高棉帝國統治，在此,235,202,6,1,73.6,0.0,0.5,0.0,0.0,0.0,85.7,7.8,2.6,3.9,0,0,1,0,0,0,0,6.5,0.9,8.2,31.2,23.8,13.9,13.0,9.1,37.6,62.4,,台灣:51.9|香港:17.3|新加坡:9.1|馬來西亞:6.1|中國:3.5
